State,Year,Month,Period,Indicator,Data Value,Percent Complete,Percent Pending Investigation,State Name,Footnote,Footnote Symbol,Predicted Value
AK,2015,January,12 month-ending,Number of Deaths,"4,034",100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2015,February,12 month-ending,Number of Deaths,"4,084",100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2015,March,12 month-ending,Number of Deaths,"4,101",100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2015,April,12 month-ending,Number of Deaths,"4,133",100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2015,May,12 month-ending,Number of Deaths,"4,196",100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2015,June,12 month-ending,Number of Deaths,"4,201",100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2015,July,12 month-ending,Number of Deaths,"4,220",100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2015,August,12 month-ending,Number of Deaths,"4,222",100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2015,September,12 month-ending,Number of Deaths,"4,242",100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2015,October,12 month-ending,Number of Deaths,"4,241",100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2015,November,12 month-ending,Number of Deaths,"4,219",100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2015,December,12 month-ending,Number of Deaths,"4,193",100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2016,January,12 month-ending,Number of Deaths,"4,213",100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2016,February,12 month-ending,Number of Deaths,"4,198",100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2016,March,12 month-ending,Number of Deaths,"4,230",100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2016,April,12 month-ending,Number of Deaths,"4,262",100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2016,May,12 month-ending,Number of Deaths,"4,241",100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2016,June,12 month-ending,Number of Deaths,"4,261",100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2016,July,12 month-ending,Number of Deaths,"4,269",100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2016,August,12 month-ending,Number of Deaths,"4,276",100,0.0233863423760524,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2016,September,12 month-ending,Number of Deaths,"4,256",100,0.0469924812030075,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2016,October,12 month-ending,Number of Deaths,"4,291",100,0.0699137730132836,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2016,November,12 month-ending,Number of Deaths,"4,289",100,0.0699463744462579,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2016,December,12 month-ending,Number of Deaths,"4,355",100,0.068886337543054,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2017,January,12 month-ending,Number of Deaths,"4,374",100,0.0685871056241426,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2017,February,12 month-ending,Number of Deaths,"4,347",100,0.0690131124913734,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2017,March,12 month-ending,Number of Deaths,"4,359",100,0.0688231245698555,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2017,April,12 month-ending,Number of Deaths,"4,325",100,0.069364161849711,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2017,May,12 month-ending,Number of Deaths,"4,277",100,0.0701426233341127,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2017,June,12 month-ending,Number of Deaths,"4,276",100,0.0701590271281572,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2017,July,12 month-ending,Number of Deaths,"4,236",100,0.0708215297450425,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2017,August,12 month-ending,Number of Deaths,"4,234",100,0.0472366556447803,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2017,September,12 month-ending,Number of Deaths,"4,299",100,0.0232612235403582,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2017,October,12 month-ending,Number of Deaths,"4,283",100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2017,November,12 month-ending,Number of Deaths,"4,308",100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2017,December,12 month-ending,Number of Deaths,"4,279",100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,
AK,2018,January,12 month-ending,Number of Deaths,"4,260",100,0,Alaska,Underreported due to incomplete data.,*,
AK,2018,February,12 month-ending,Number of Deaths,"4,304",100,0,Alaska,Underreported due to incomplete data.,*,
AK,2018,March,12 month-ending,Number of Deaths,"4,286",100,0,Alaska,Underreported due to incomplete data.,*,
AK,2018,April,12 month-ending,Number of Deaths,"4,341",100,0,Alaska,Underreported due to incomplete data.,*,
AK,2018,May,12 month-ending,Number of Deaths,"4,352",100,0,Alaska,Underreported due to incomplete data.,*,
AK,2018,June,12 month-ending,Number of Deaths,"4,309",100,0,Alaska,Underreported due to incomplete data.,*,
AK,2018,July,12 month-ending,Number of Deaths,"4,337",100,0,Alaska,Underreported due to incomplete data.,*,
AK,2018,August,12 month-ending,Number of Deaths,"4,383",100,0,Alaska,Underreported due to incomplete data.,*,
AK,2018,September,12 month-ending,Number of Deaths,"4,322",100,0,Alaska,Underreported due to incomplete data.,*,
AK,2015,January,12 month-ending,Number of Drug Overdose Deaths,126,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,127
AK,2015,February,12 month-ending,Number of Drug Overdose Deaths,127,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,128
AK,2015,March,12 month-ending,Number of Drug Overdose Deaths,125,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,126
AK,2015,April,12 month-ending,Number of Drug Overdose Deaths,126,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,127
AK,2015,May,12 month-ending,Number of Drug Overdose Deaths,125,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,126
AK,2015,June,12 month-ending,Number of Drug Overdose Deaths,121,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,122
AK,2015,July,12 month-ending,Number of Drug Overdose Deaths,117,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,118
AK,2015,August,12 month-ending,Number of Drug Overdose Deaths,124,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,125
AK,2015,September,12 month-ending,Number of Drug Overdose Deaths,125,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,126
AK,2015,October,12 month-ending,Number of Drug Overdose Deaths,120,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,121
AK,2015,November,12 month-ending,Number of Drug Overdose Deaths,115,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,116
AK,2015,December,12 month-ending,Number of Drug Overdose Deaths,121,100,0,Alaska,Numbers may differ from published reports using final data. See Technical Notes.,**,122
